operation,file_size_mb,client_pool_size,server_pool_size,executor_type,avg_duration,median_duration,min_duration,max_duration,avg_throughput,median_throughput,min_throughput,max_throughput,success_count,fail_count
download,10,1,5,process,0.12926316261291504,0.12926316261291504,0.12926316261291504,0.12926316261291504,81119475.86645493,81119475.86645493,81119475.86645493,81119475.86645493,0,0
download,10,5,5,process,0.4236980080604553,0.17222630977630615,0.15017151832580566,1.2001678943634033,50225244.20775486,61169420.63347584,8736910.934917059,69825224.62915069,0,0
download,10,50,5,process,0.8171862325360698,0.8430178165435791,0.23738861083984375,1.4696321487426758,17897608.244996566,12438361.081136115,7134955.511806782,44171285.06251004,0,0
download,50,1,5,process,1.0046637058258057,1.0046637058258057,1.0046637058258057,1.0046637058258057,52185422.540874,52185422.540874,52185422.540874,52185422.540874,0,0
download,50,5,5,process,1.6328231811523437,1.2245049476623535,1.2122972011566162,2.2693557739257812,35127440.59008208,42816323.52738911,23102944.2815407,43247480.85698727,0,0
download,50,50,5,process,7.607879508625377,6.506425142288208,1.7203552722930908,15.55394196510315,11250359.580942422,8058004.027317774,3370772.5101218293,30475565.625533126,0,0
download,100,1,5,process,3.1983816623687744,3.1983816623687744,3.1983816623687744,3.1983816623687744,32784580.162437752,32784580.162437752,32784580.162437752,32784580.162437752,0,0
download,100,5,5,process,4.305248212814331,4.163285732269287,4.090411424636841,4.8972673416137695,24464208.201824795,25186260.742868863,21411451.057406813,25634976.317647453,0,0
download,100,50,5,process,67.86574846345025,44.6467387676239,36.5861337184906,116.5725028514862,1923943.0714733975,2348606.0324755167,899505.4359739446,2866047.5798514085,0,0
upload,10,1,5,process,0.550492525100708,0.550492525100708,0.550492525100708,0.550492525100708,19047960.72949713,19047960.72949713,19047960.72949713,19047960.72949713,0,0
upload,10,5,5,process,0.7609138488769531,0.6289072036743164,0.3285205364227295,1.4447941780090332,19474779.11737941,16672984.40650414,7257615.070438386,31918126.38010327,0,0
upload,10,50,5,process,2.105424027442932,2.040189743041992,0.5048415660858154,3.5528886318206787,6268862.858469539,5139701.382825615,2951333.71366796,20770397.495790947,0,0
upload,50,1,5,process,0.9104585647583008,0.9104585647583008,0.9104585647583008,0.9104585647583008,57585047.83127419,57585047.83127419,57585047.83127419,57585047.83127419,0,0
upload,50,5,5,process,1.506214714050293,1.2379717826843262,1.1099960803985596,2.696901559829712,38676019.58457775,42350561.40481432,19440383.283144552,47233319.94215214,0,0
upload,50,50,5,process,112.79297598361968,122.76963901519775,41.41674470901489,127.72328114509583,502406.4696426982,427051.955868462,410487.41881630797,1265884.1337809968,0,0
upload,100,1,5,process,2.9236538410186768,2.9236538410186768,2.9236538410186768,2.9236538410186768,35865258.235723585,35865258.235723585,35865258.235723585,35865258.235723585,0,0
upload,100,5,5,process,3.4840991497039795,3.508474826812744,3.3424038887023926,3.5405774116516113,30109465.04072704,29886946.658031844,29615960.282333143,31371911.801092483,0,0
upload,100,50,5,process,537.4649482822418,563.6810255050659,254.16480231285095,661.8987662792206,209051.83967779588,186028.06010558986,158419.3918194524,412557.5179797358,0,0
